commit_id,author_id,author_experience_years,commit_date,files_modified,lines_added,lines_deleted,modules_affected_count,modules_affected,code_churn_ratio,is_hotspot_module,historical_bug_frequency,regression_time_hours,failure_probability_true,test_failed,test_fail_count
commit_000747,author_13,11.95,2024-12-24 20:00:00,26,2157,1465,9,"Clock_Domain,Interconnect,UART_Controller,Reset_Logic,Memory_Controller,Data_Path,Control_Unit,SPI_Interface,AHB_Controller",0.4201,1,41,12.7,1.0,1,3
commit_000748,author_2,0.0,2024-11-23 08:00:00,16,546,61,6,"Register_File,ALU,UART_Controller,Reset_Logic,Cache_L1,Control_Unit",0.1083,0,19,8.08,0.7481,0,0
commit_000749,author_39,15.98,2024-12-23 02:00:00,26,928,1119,15,"GPIO_Controller,Register_File,Cache_L1,UART_Controller,ALU,AHB_Controller,Memory_Controller,Cache_L2,Interconnect,Clock_Domain,Data_Path,SPI_Interface,Control_Unit,I2C_Interface,Reset_Logic",0.2905,1,43,14.4,1.0,1,6
commit_000750,author_6,10.31,2024-10-17 00:00:00,46,4142,2869,1,UART_Controller,0.5837,0,3,10.34,0.3403,0,0
commit_000751,author_8,13.97,2024-02-23 01:00:00,25,941,2892,12,"AHB_Controller,GPIO_Controller,Control_Unit,Data_Path,Reset_Logic,Cache_L2,Memory_Controller,SPI_Interface,UART_Controller,Register_File,ALU,Clock_Domain",0.4339,1,51,14.34,1.0,1,7
commit_000752,author_17,11.32,2024-01-30 13:00:00,20,3689,2227,15,"Memory_Controller,ALU,SPI_Interface,AHB_Controller,Reset_Logic,GPIO_Controller,Cache_L2,Interconnect,I2C_Interface,Register_File,Cache_L1,UART_Controller,Control_Unit,Clock_Domain,Data_Path",0.542,1,52,16.92,1.0,1,5
commit_000753,author_23,7.66,2024-08-28 10:00:00,50,3066,1323,15,"Cache_L1,Clock_Domain,Interconnect,UART_Controller,I2C_Interface,Cache_L2,GPIO_Controller,Memory_Controller,AHB_Controller,ALU,Data_Path,Control_Unit,Reset_Logic,Register_File,SPI_Interface",0.4675,1,58,16.17,1.0,1,6
commit_000754,author_49,11.52,2024-01-03 22:00:00,20,3179,630,2,"UART_Controller,Memory_Controller",0.4324,1,6,9.32,0.4783,0,0
commit_000755,author_33,18.19,2024-11-20 01:00:00,20,1295,2267,8,"Register_File,UART_Controller,I2C_Interface,Cache_L1,Control_Unit,Memory_Controller,Clock_Domain,Reset_Logic",0.416,1,30,12.16,1.0,1,1
commit_000756,author_28,3.45,2024-05-26 06:00:00,18,1426,309,3,"Interconnect,Cache_L2,Data_Path",0.2576,1,18,8.08,0.9115,1,5
commit_000757,author_21,5.92,2024-03-25 09:00:00,44,4273,2827,1,Control_Unit,0.5868,0,5,10.37,0.3775,1,5
commit_000758,author_9,4.14,2024-12-04 11:00:00,15,3245,105,8,"GPIO_Controller,Register_File,UART_Controller,ALU,Interconnect,AHB_Controller,Memory_Controller,Clock_Domain",0.4012,1,20,12.01,0.9496,1,2
commit_000759,author_25,7.12,2024-07-12 14:00:00,4,1742,2942,14,"Control_Unit,I2C_Interface,UART_Controller,ALU,SPI_Interface,Reset_Logic,Cache_L2,Data_Path,Cache_L1,Interconnect,Memory_Controller,AHB_Controller,GPIO_Controller,Clock_Domain",0.4837,1,51,15.84,1.0,1,2
commit_000760,author_44,14.86,2024-12-01 15:00:00,47,4897,1201,5,"SPI_Interface,Memory_Controller,Data_Path,Control_Unit,Interconnect",0.5495,1,19,11.99,0.9318,1,6
commit_000761,author_6,7.83,2024-03-22 09:00:00,29,128,519,7,"Cache_L1,Data_Path,Clock_Domain,UART_Controller,I2C_Interface,Memory_Controller,Reset_Logic",0.1146,1,33,8.65,1.0,1,1
commit_000762,author_13,16.33,2024-08-19 04:00:00,9,236,2046,11,"Cache_L2,I2C_Interface,Data_Path,Memory_Controller,Reset_Logic,GPIO_Controller,Control_Unit,ALU,Clock_Domain,Register_File,Interconnect",0.3134,1,38,12.63,1.0,1,4
commit_000763,author_49,14.64,2024-09-30 05:00:00,7,4263,548,6,"Register_File,Control_Unit,SPI_Interface,I2C_Interface,Data_Path,Clock_Domain",0.4904,0,18,11.9,0.7322,1,2
commit_000764,author_10,16.85,2024-11-06 08:00:00,9,4744,84,14,"Memory_Controller,Reset_Logic,ALU,Control_Unit,UART_Controller,Cache_L2,Cache_L1,AHB_Controller,SPI_Interface,Register_File,Data_Path,GPIO_Controller,Clock_Domain,I2C_Interface",0.4912,1,53,15.91,1.0,1,7
commit_000765,author_25,9.51,2024-08-11 04:00:00,14,508,140,3,"Cache_L1,ALU,I2C_Interface",0.1147,0,8,6.65,0.3818,0,0
commit_000766,author_49,1.2,2024-02-22 05:00:00,49,1634,1806,7,"SPI_Interface,GPIO_Controller,Interconnect,Control_Unit,UART_Controller,Cache_L2,ALU",0.4076,1,24,11.58,1.0,1,4
commit_000767,author_32,6.73,2024-12-10 14:00:00,33,4052,2920,3,"ALU,Interconnect,Register_File",0.5824,1,8,11.32,0.6259,0,0
commit_000768,author_35,7.14,2024-01-13 01:00:00,38,2363,2043,7,"GPIO_Controller,AHB_Controller,Data_Path,Memory_Controller,Reset_Logic,Control_Unit,Register_File",0.4684,1,24,12.18,1.0,1,3
commit_000769,author_29,3.74,2024-11-09 19:00:00,32,1846,203,11,"AHB_Controller,Reset_Logic,Cache_L1,Interconnect,SPI_Interface,ALU,GPIO_Controller,Control_Unit,Cache_L2,Memory_Controller,UART_Controller",0.2907,1,22,12.41,0.9869,1,6
commit_000770,author_32,11.33,2024-03-15 16:00:00,44,4531,2208,1,I2C_Interface,0.5741,0,0,10.24,0.1399,0,0
commit_000771,author_43,0.0,2024-11-16 17:00:00,46,2583,2784,6,"Control_Unit,Interconnect,Cache_L1,Clock_Domain,AHB_Controller,Data_Path",0.5177,1,24,12.18,1.0,1,1
commit_000772,author_38,11.45,2024-09-14 21:00:00,30,3667,2175,10,"I2C_Interface,SPI_Interface,Register_File,ALU,GPIO_Controller,AHB_Controller,Reset_Logic,Interconnect,Memory_Controller,Cache_L1",0.5388,1,37,14.39,1.0,1,2
commit_000773,author_48,7.75,2024-01-19 08:00:00,5,4478,337,11,"GPIO_Controller,SPI_Interface,Register_File,Data_Path,Memory_Controller,UART_Controller,Reset_Logic,Interconnect,Cache_L2,Cache_L1,AHB_Controller",0.4906,1,45,14.41,1.0,1,5
commit_000774,author_16,12.6,2024-06-09 04:00:00,49,1309,2304,9,"SPI_Interface,ALU,I2C_Interface,Memory_Controller,UART_Controller,Clock_Domain,Reset_Logic,Register_File,Interconnect",0.4195,1,29,12.69,1.0,1,5
commit_000775,author_21,7.31,2024-01-26 12:00:00,49,3374,2338,9,"Control_Unit,SPI_Interface,Data_Path,I2C_Interface,Interconnect,GPIO_Controller,ALU,AHB_Controller,Register_File",0.5332,1,30,13.83,1.0,1,3
commit_000776,author_2,12.22,2024-08-04 01:00:00,17,3652,87,15,"Data_Path,I2C_Interface,Reset_Logic,Register_File,Clock_Domain,Memory_Controller,Control_Unit,SPI_Interface,UART_Controller,GPIO_Controller,Interconnect,Cache_L1,ALU,Cache_L2,AHB_Controller",0.4279,1,59,15.78,1.0,1,5
commit_000777,author_24,16.07,2024-10-24 15:00:00,30,595,1521,8,"Cache_L2,Control_Unit,SPI_Interface,Memory_Controller,Interconnect,Reset_Logic,ALU,GPIO_Controller",0.2974,1,20,10.97,0.9389,1,7
commit_000778,author_37,7.24,2024-10-01 10:00:00,12,3738,1978,7,"GPIO_Controller,Cache_L2,I2C_Interface,UART_Controller,Memory_Controller,Reset_Logic,SPI_Interface",0.5334,1,19,12.83,0.958,1,5
commit_000779,author_18,7.48,2024-02-15 22:00:00,25,1845,860,8,"I2C_Interface,GPIO_Controller,Interconnect,Control_Unit,Data_Path,Cache_L2,Register_File,Memory_Controller",0.3511,1,26,11.51,1.0,1,6
commit_000780,author_20,7.24,2024-12-10 12:00:00,9,2020,2413,12,"GPIO_Controller,ALU,Data_Path,SPI_Interface,Interconnect,Register_File,Cache_L2,Reset_Logic,UART_Controller,Cache_L1,Clock_Domain,Control_Unit",0.4699,1,38,14.7,1.0,1,2
commit_000781,author_36,15.15,2024-05-03 06:00:00,27,2978,2810,14,"Reset_Logic,AHB_Controller,SPI_Interface,UART_Controller,Interconnect,Cache_L1,Control_Unit,Cache_L2,Register_File,Data_Path,GPIO_Controller,I2C_Interface,ALU,Memory_Controller",0.5365,1,41,16.37,1.0,1,7
commit_000782,author_47,6.72,2024-02-10 21:00:00,27,1615,455,15,"Interconnect,Cache_L2,Register_File,Control_Unit,Cache_L1,Clock_Domain,SPI_Interface,ALU,Data_Path,I2C_Interface,GPIO_Controller,Reset_Logic,AHB_Controller,UART_Controller,Memory_Controller",0.2928,1,39,14.43,1.0,1,7
commit_000783,author_19,17.14,2024-04-19 15:00:00,24,4009,1352,15,"ALU,SPI_Interface,I2C_Interface,Cache_L2,Data_Path,UART_Controller,Memory_Controller,Cache_L1,Interconnect,AHB_Controller,Clock_Domain,Control_Unit,Reset_Logic,GPIO_Controller,Register_File",0.5174,1,48,16.67,1.0,1,3
commit_000784,author_3,11.86,2024-05-17 21:00:00,31,1401,1082,6,"Cache_L1,ALU,Reset_Logic,AHB_Controller,Clock_Domain,SPI_Interface",0.3318,1,18,10.32,0.8809,1,6
commit_000785,author_12,10.25,2024-01-29 19:00:00,19,4155,1447,4,"UART_Controller,Control_Unit,GPIO_Controller,AHB_Controller",0.5284,1,13,11.28,0.7718,1,4
commit_000786,author_6,5.34,2024-08-02 07:00:00,23,3828,175,8,"I2C_Interface,ALU,Memory_Controller,Data_Path,Register_File,GPIO_Controller,UART_Controller,Cache_L1",0.4446,1,27,12.45,1.0,1,1
commit_000787,author_37,10.51,2024-12-07 12:00:00,18,2880,785,14,"Reset_Logic,Memory_Controller,Interconnect,SPI_Interface,I2C_Interface,GPIO_Controller,ALU,Control_Unit,AHB_Controller,Clock_Domain,UART_Controller,Data_Path,Register_File,Cache_L1",0.423,1,49,15.23,1.0,1,3
commit_000788,author_48,9.61,2024-09-23 04:00:00,17,3039,40,2,"GPIO_Controller,UART_Controller",0.3811,0,0,8.81,0.2381,0,0
commit_000789,author_28,11.61,2024-05-28 19:00:00,12,888,393,12,"Cache_L1,Memory_Controller,Reset_Logic,Cache_L2,ALU,Control_Unit,Data_Path,SPI_Interface,Interconnect,I2C_Interface,AHB_Controller,UART_Controller",0.2039,1,49,12.04,1.0,1,5
commit_000790,author_45,7.12,2024-03-18 02:00:00,23,4247,230,2,"Register_File,Interconnect",0.4724,1,4,9.72,0.504,1,2
commit_000791,author_44,6.9,2024-06-17 04:00:00,29,971,1594,12,"ALU,GPIO_Controller,Cache_L1,Register_File,Control_Unit,UART_Controller,Reset_Logic,AHB_Controller,I2C_Interface,Interconnect,SPI_Interface,Data_Path",0.3391,1,34,13.39,1.0,1,3
commit_000792,author_43,0.23,2024-06-12 14:00:00,43,1952,361,15,"ALU,Interconnect,Data_Path,Reset_Logic,SPI_Interface,Register_File,Memory_Controller,Cache_L2,GPIO_Controller,Control_Unit,I2C_Interface,AHB_Controller,Clock_Domain,Cache_L1,UART_Controller",0.3163,1,45,14.66,1.0,1,7
commit_000793,author_49,4.43,2024-06-09 17:00:00,39,2085,507,6,"ALU,Cache_L2,Cache_L1,Control_Unit,SPI_Interface,Register_File",0.3414,0,21,10.41,0.8787,0,0
commit_000794,author_50,8.36,2024-10-04 08:00:00,14,3907,778,11,"GPIO_Controller,AHB_Controller,ALU,Memory_Controller,Control_Unit,SPI_Interface,Data_Path,Register_File,I2C_Interface,Cache_L2,Clock_Domain",0.4837,1,45,14.34,1.0,1,5
commit_000795,author_45,17.03,2024-06-27 03:00:00,5,2613,991,1,Interconnect,0.4189,1,4,8.69,0.4334,1,2
commit_000796,author_27,7.81,2024-08-11 01:00:00,26,4711,109,8,"Control_Unit,UART_Controller,AHB_Controller,GPIO_Controller,SPI_Interface,Cache_L1,Reset_Logic,I2C_Interface",0.4908,1,23,12.91,1.0,1,4
commit_000797,author_13,1.9,2024-07-27 14:00:00,49,708,2968,14,"Register_File,I2C_Interface,Memory_Controller,GPIO_Controller,Cache_L1,Cache_L2,Interconnect,SPI_Interface,Data_Path,ALU,Clock_Domain,Control_Unit,UART_Controller,Reset_Logic",0.4237,1,42,15.24,1.0,1,6
commit_000798,author_9,5.71,2024-06-26 22:00:00,36,2213,1983,3,"Cache_L1,SPI_Interface,I2C_Interface",0.4563,0,14,10.06,0.6009,0,0
commit_000799,author_19,13.18,2024-05-15 14:00:00,14,4512,1382,6,"Memory_Controller,Data_Path,Register_File,Cache_L1,Clock_Domain,SPI_Interface",0.541,1,23,12.41,1.0,1,5
commit_000800,author_37,18.32,2024-06-02 05:00:00,39,4218,2883,4,"AHB_Controller,Reset_Logic,Interconnect,SPI_Interface",0.5868,1,14,11.87,0.7789,1,2
commit_000801,author_15,6.06,2024-03-01 17:00:00,42,1415,1412,10,"Control_Unit,Cache_L2,ALU,UART_Controller,Cache_L1,AHB_Controller,Data_Path,Interconnect,GPIO_Controller,SPI_Interface",0.3612,1,28,12.61,1.0,1,6
commit_000802,author_24,10.19,2024-04-26 03:00:00,49,1041,2006,15,"I2C_Interface,Memory_Controller,AHB_Controller,UART_Controller,Interconnect,Data_Path,Control_Unit,SPI_Interface,GPIO_Controller,Clock_Domain,Register_File,ALU,Cache_L2,Cache_L1,Reset_Logic",0.3787,1,59,15.29,1.0,1,3
commit_000803,author_28,12.23,2024-05-21 01:00:00,19,2160,2644,15,"I2C_Interface,Cache_L2,ALU,UART_Controller,SPI_Interface,Clock_Domain,Data_Path,Cache_L1,Reset_Logic,Memory_Controller,AHB_Controller,Control_Unit,Register_File,GPIO_Controller,Interconnect",0.49,1,48,16.4,1.0,1,3
commit_000804,author_24,9.74,2024-11-08 18:00:00,48,948,834,1,Memory_Controller,0.2628,1,3,7.13,0.4219,1,1
commit_000805,author_9,5.41,2024-08-08 16:00:00,40,3806,2884,4,"UART_Controller,Data_Path,SPI_Interface,Cache_L2",0.5723,0,6,11.72,0.4288,0,0
commit_000806,author_46,0.0,2024-10-15 23:00:00,29,2114,1003,1,UART_Controller,0.384,0,1,8.34,0.3005,0,0
commit_000807,author_5,4.45,2024-03-06 01:00:00,2,644,1993,4,"Interconnect,AHB_Controller,Clock_Domain,Register_File",0.3453,1,6,9.45,0.5176,0,0
commit_000808,author_31,9.47,2024-08-29 20:00:00,36,1874,1933,14,"I2C_Interface,SPI_Interface,GPIO_Controller,Reset_Logic,AHB_Controller,Clock_Domain,ALU,Data_Path,Cache_L1,Cache_L2,Control_Unit,Memory_Controller,Interconnect,UART_Controller",0.4323,1,42,15.32,1.0,1,6
commit_000809,author_17,0.0,2024-04-25 23:00:00,43,3453,1613,8,"Interconnect,Control_Unit,Register_File,Clock_Domain,Cache_L1,Memory_Controller,GPIO_Controller,Data_Path",0.5033,1,40,13.03,1.0,1,5
commit_000810,author_8,0.0,2024-08-01 20:00:00,8,2810,323,4,"AHB_Controller,Cache_L1,Control_Unit,ALU",0.3852,1,8,9.85,0.6318,0,0
commit_000811,author_28,17.71,2024-07-12 03:00:00,5,1149,618,11,"Reset_Logic,ALU,I2C_Interface,Clock_Domain,Interconnect,Register_File,Data_Path,Cache_L1,Control_Unit,GPIO_Controller,Cache_L2",0.2611,1,32,12.11,1.0,1,7
commit_000812,author_10,14.38,2024-10-27 08:00:00,19,1717,2619,6,"AHB_Controller,Cache_L2,Cache_L1,Reset_Logic,Clock_Domain,GPIO_Controller",0.4644,1,24,11.64,1.0,1,1
commit_000813,author_17,7.3,2024-04-21 15:00:00,21,738,615,3,"UART_Controller,Control_Unit,Data_Path",0.213,0,6,7.63,0.2971,1,3
commit_000814,author_32,5.74,2024-01-28 20:00:00,40,720,474,14,"Control_Unit,Register_File,UART_Controller,Interconnect,Reset_Logic,SPI_Interface,I2C_Interface,Memory_Controller,Data_Path,Clock_Domain,GPIO_Controller,AHB_Controller,ALU,Cache_L2",0.1928,1,37,12.93,1.0,1,5
commit_000815,author_19,2.32,2024-05-03 07:00:00,35,160,1504,2,"Clock_Domain,Cache_L1",0.2497,0,5,7.5,0.4168,0,0
commit_000816,author_18,2.82,2024-05-24 23:00:00,45,926,2111,8,"I2C_Interface,AHB_Controller,Interconnect,Reset_Logic,Cache_L1,Data_Path,Memory_Controller,Cache_L2",0.3779,1,24,11.78,1.0,1,2
commit_000817,author_44,8.28,2024-03-05 09:00:00,11,2778,1808,9,"Reset_Logic,Register_File,AHB_Controller,ALU,SPI_Interface,Memory_Controller,Data_Path,Clock_Domain,UART_Controller",0.4784,1,20,13.28,1.0,1,4
commit_000818,author_7,3.59,2024-08-08 20:00:00,28,4016,1086,4,"Cache_L1,AHB_Controller,Memory_Controller,Control_Unit",0.505,1,17,11.05,0.9737,1,6
commit_000819,author_43,10.69,2024-11-23 13:00:00,48,616,349,4,"Control_Unit,SPI_Interface,ALU,I2C_Interface",0.1618,0,13,7.62,0.5196,0,0
commit_000820,author_22,3.47,2024-01-30 22:00:00,42,2373,839,15,"SPI_Interface,I2C_Interface,Control_Unit,Register_File,Clock_Domain,Cache_L1,Cache_L2,AHB_Controller,Data_Path,UART_Controller,Reset_Logic,ALU,GPIO_Controller,Interconnect,Memory_Controller",0.3911,1,54,15.41,1.0,1,7
commit_000821,author_17,2.2,2024-05-01 12:00:00,50,2491,2367,3,"Cache_L2,GPIO_Controller,Data_Path",0.4928,0,14,10.43,0.715,1,3
commit_000822,author_14,16.1,2024-04-21 05:00:00,33,4003,210,15,"Data_Path,GPIO_Controller,Reset_Logic,ALU,SPI_Interface,Cache_L1,Memory_Controller,UART_Controller,Cache_L2,Clock_Domain,I2C_Interface,Interconnect,Register_File,AHB_Controller,Control_Unit",0.4573,1,43,16.07,1.0,1,4
commit_000823,author_32,4.75,2024-10-31 02:00:00,8,3309,307,10,"Reset_Logic,Data_Path,Control_Unit,ALU,I2C_Interface,SPI_Interface,Clock_Domain,Memory_Controller,Interconnect,Cache_L2",0.4197,1,23,13.2,1.0,1,2
commit_000824,author_40,7.57,2024-05-07 05:00:00,9,2156,1210,4,"Data_Path,SPI_Interface,Reset_Logic,Memory_Controller",0.4023,1,7,10.02,0.5965,1,6
commit_000825,author_22,9.29,2024-11-12 10:00:00,13,641,804,4,"SPI_Interface,Cache_L2,Reset_Logic,GPIO_Controller",0.2242,0,10,8.24,0.5009,0,0
commit_000826,author_32,8.42,2024-12-25 22:00:00,40,4003,2907,15,"SPI_Interface,Reset_Logic,Interconnect,Memory_Controller,ALU,Control_Unit,Data_Path,UART_Controller,GPIO_Controller,Cache_L2,Cache_L1,I2C_Interface,AHB_Controller,Register_File,Clock_Domain",0.5802,1,49,17.3,1.0,1,6
commit_000827,author_19,4.28,2024-02-02 13:00:00,20,1468,2173,3,"Interconnect,Memory_Controller,AHB_Controller",0.4214,1,12,9.71,0.703,1,2
commit_000828,author_33,17.78,2024-10-17 01:00:00,26,2778,782,1,Data_Path,0.4159,0,5,8.66,0.3032,1,3
commit_000829,author_43,2.06,2024-06-21 23:00:00,10,2847,1875,3,"Register_File,ALU,I2C_Interface",0.4857,0,7,10.36,0.4852,1,1
commit_000830,author_33,16.08,2024-01-12 02:00:00,13,4365,2663,12,"Memory_Controller,UART_Controller,SPI_Interface,Control_Unit,Cache_L1,GPIO_Controller,Data_Path,AHB_Controller,Clock_Domain,Cache_L2,I2C_Interface,ALU",0.5843,1,46,15.84,1.0,1,1
commit_000831,author_30,13.76,2024-11-03 03:00:00,26,4447,85,11,"I2C_Interface,GPIO_Controller,ALU,Register_File,Cache_L1,Cache_L2,SPI_Interface,Memory_Controller,UART_Controller,Clock_Domain,Interconnect",0.4755,1,43,14.25,1.0,1,5
commit_000832,author_7,4.57,2024-10-23 03:00:00,25,2227,700,5,"Interconnect,AHB_Controller,Clock_Domain,Data_Path,Memory_Controller",0.3692,1,20,10.19,0.9834,1,6
commit_000833,author_42,8.1,2024-11-21 17:00:00,34,1988,2659,4,"Control_Unit,UART_Controller,Data_Path,SPI_Interface",0.4817,0,13,10.82,0.5715,0,0
commit_000834,author_39,11.51,2024-11-28 06:00:00,24,2191,618,1,ALU,0.3597,0,6,8.1,0.3481,0,0
commit_000835,author_40,13.03,2024-09-03 06:00:00,4,1829,2375,10,"UART_Controller,SPI_Interface,Reset_Logic,Clock_Domain,Data_Path,ALU,Memory_Controller,Cache_L1,Interconnect,AHB_Controller",0.4568,1,29,13.57,1.0,1,4
commit_000836,author_2,12.81,2024-05-08 11:00:00,44,3781,1766,13,"Clock_Domain,AHB_Controller,Cache_L2,Control_Unit,SPI_Interface,Cache_L1,GPIO_Controller,Data_Path,UART_Controller,Register_File,ALU,Memory_Controller,Reset_Logic",0.5259,1,55,15.76,1.0,1,3
commit_000837,author_30,5.42,2024-04-11 03:00:00,49,567,1050,15,"Control_Unit,Data_Path,AHB_Controller,Memory_Controller,Cache_L1,SPI_Interface,Reset_Logic,Interconnect,Cache_L2,GPIO_Controller,Clock_Domain,UART_Controller,Register_File,ALU,I2C_Interface",0.2444,1,50,13.94,1.0,1,1
commit_000838,author_1,3.78,2024-03-11 02:00:00,39,4354,800,8,"SPI_Interface,Clock_Domain,UART_Controller,Data_Path,GPIO_Controller,Control_Unit,Interconnect,ALU",0.5076,1,30,13.08,1.0,1,1
commit_000839,author_26,0.0,2024-11-27 20:00:00,24,2347,2943,4,"Interconnect,I2C_Interface,UART_Controller,Clock_Domain",0.5141,1,17,11.14,0.8892,0,0
commit_000840,author_32,4.74,2024-06-07 07:00:00,27,2467,2786,13,"UART_Controller,AHB_Controller,Interconnect,Clock_Domain,Data_Path,I2C_Interface,Register_File,Memory_Controller,Cache_L1,GPIO_Controller,Cache_L2,ALU,Reset_Logic",0.5123,1,42,15.62,1.0,1,7
commit_000841,author_42,8.53,2024-08-24 17:00:00,3,2707,390,15,"Control_Unit,UART_Controller,Data_Path,AHB_Controller,Cache_L1,ALU,Cache_L2,Reset_Logic,SPI_Interface,Interconnect,Memory_Controller,I2C_Interface,GPIO_Controller,Register_File,Clock_Domain",0.3825,1,41,15.32,1.0,1,4
commit_000842,author_19,14.64,2024-09-23 11:00:00,15,4276,1649,1,Data_Path,0.5423,0,6,9.92,0.3834,0,0
commit_000843,author_44,3.68,2024-09-02 22:00:00,26,1777,1132,9,"GPIO_Controller,Control_Unit,Reset_Logic,Cache_L1,I2C_Interface,Cache_L2,ALU,Memory_Controller,Register_File",0.3678,1,22,12.18,0.972,1,4
commit_000844,author_12,9.74,2024-05-16 04:00:00,47,2680,970,2,"Cache_L1,I2C_Interface",0.422,0,6,9.22,0.3556,0,0
commit_000845,author_27,8.43,2024-12-03 01:00:00,32,4833,123,14,"ALU,Cache_L2,Clock_Domain,Interconnect,AHB_Controller,SPI_Interface,Register_File,Reset_Logic,Cache_L1,UART_Controller,Memory_Controller,Control_Unit,Data_Path,I2C_Interface",0.4978,1,44,15.98,1.0,1,2
commit_000846,author_22,10.11,2024-10-20 23:00:00,40,4382,193,7,"Memory_Controller,I2C_Interface,Cache_L2,Reset_Logic,Interconnect,GPIO_Controller,Control_Unit",0.4778,1,23,12.28,1.0,1,6
commit_000847,author_22,4.05,2024-08-30 12:00:00,39,349,2728,8,"GPIO_Controller,AHB_Controller,Reset_Logic,Interconnect,ALU,Cache_L1,UART_Controller,Memory_Controller",0.381,1,24,11.81,1.0,1,2
commit_000848,author_29,8.94,2024-11-08 01:00:00,13,2179,2249,3,"Clock_Domain,GPIO_Controller,Memory_Controller",0.4697,1,7,10.2,0.547,0,0
commit_000849,author_40,6.08,2024-03-10 13:00:00,20,243,1265,2,"Clock_Domain,Interconnect",0.2317,1,9,7.32,0.5883,1,2
commit_000850,author_7,5.36,2024-04-24 00:00:00,11,2595,510,6,"SPI_Interface,Memory_Controller,Cache_L2,Register_File,Cache_L1,ALU",0.3831,1,13,10.83,0.6842,0,0
commit_000851,author_49,14.9,2024-12-11 08:00:00,2,892,450,15,"Control_Unit,UART_Controller,Memory_Controller,Cache_L1,SPI_Interface,Register_File,I2C_Interface,Clock_Domain,AHB_Controller,GPIO_Controller,Cache_L2,ALU,Data_Path,Reset_Logic,Interconnect",0.2116,1,54,13.62,1.0,1,3
commit_000852,author_33,7.08,2024-04-26 21:00:00,29,3411,919,2,"Memory_Controller,ALU",0.4641,1,7,9.64,0.5933,1,5
commit_000853,author_49,0.0,2024-10-10 07:00:00,45,1018,2875,6,"Register_File,SPI_Interface,Clock_Domain,Cache_L2,Cache_L1,Interconnect",0.4378,1,22,11.38,1.0,1,4
commit_000854,author_15,12.17,2024-04-04 04:00:00,10,2141,2900,13,"GPIO_Controller,Data_Path,Clock_Domain,Reset_Logic,Control_Unit,Interconnect,Register_File,AHB_Controller,Cache_L2,Memory_Controller,SPI_Interface,ALU,UART_Controller",0.502,1,42,15.52,1.0,1,1
commit_000855,author_26,9.32,2024-04-22 04:00:00,31,4996,661,5,"Data_Path,AHB_Controller,Reset_Logic,Clock_Domain,SPI_Interface",0.5308,1,21,11.81,0.9903,1,7
commit_000856,author_10,5.71,2024-02-09 11:00:00,19,2965,2927,10,"SPI_Interface,UART_Controller,GPIO_Controller,Reset_Logic,Interconnect,ALU,Data_Path,Clock_Domain,Register_File,Control_Unit",0.5409,1,25,14.41,1.0,1,6
commit_000857,author_20,5.94,2024-08-02 03:00:00,2,2877,2039,4,"Reset_Logic,Register_File,AHB_Controller,ALU",0.4958,1,10,10.96,0.6298,0,0
commit_000858,author_40,15.67,2024-04-10 06:00:00,36,2936,2796,11,"UART_Controller,Data_Path,Control_Unit,SPI_Interface,Cache_L2,Interconnect,GPIO_Controller,Register_File,Clock_Domain,I2C_Interface,Reset_Logic",0.5341,1,34,14.84,1.0,1,4
commit_000859,author_20,5.37,2024-02-27 12:00:00,33,2927,2966,11,"AHB_Controller,Interconnect,Register_File,Data_Path,Cache_L1,Clock_Domain,I2C_Interface,ALU,Memory_Controller,Reset_Logic,Control_Unit",0.541,1,31,14.91,1.0,1,7
commit_000860,author_34,0.0,2024-08-20 14:00:00,45,1557,2609,11,"GPIO_Controller,SPI_Interface,Cache_L1,AHB_Controller,UART_Controller,Interconnect,ALU,Cache_L2,Data_Path,Reset_Logic,Control_Unit",0.4545,1,46,14.05,1.0,1,5
commit_000861,author_8,6.9,2024-02-10 22:00:00,1,4006,69,1,Clock_Domain,0.449,0,4,8.99,0.36,0,0
commit_000862,author_41,3.6,2024-12-12 10:00:00,46,3868,1850,1,Register_File,0.5335,0,3,9.83,0.2992,1,5
commit_000863,author_49,6.2,2024-03-26 03:00:00,28,4868,837,2,"Control_Unit,ALU",0.5329,0,5,10.33,0.3194,0,0
commit_000864,author_1,14.66,2024-11-05 08:00:00,27,4382,2268,1,Register_File,0.5708,0,3,10.21,0.3035,0,0
commit_000865,author_48,11.62,2024-12-30 01:00:00,43,4114,2943,5,"Clock_Domain,I2C_Interface,Cache_L2,Register_File,ALU",0.5853,0,23,12.35,0.8542,1,6
commit_000866,author_46,12.73,2024-04-05 13:00:00,12,3362,2285,9,"UART_Controller,Data_Path,Interconnect,Reset_Logic,Cache_L2,Memory_Controller,Register_File,SPI_Interface,Clock_Domain",0.5304,1,33,13.8,1.0,1,3
commit_000867,author_30,11.51,2024-03-07 21:00:00,33,3631,2616,1,Cache_L1,0.5554,0,4,10.05,0.3336,0,0
commit_000868,author_27,16.67,2024-02-25 22:00:00,36,3929,1714,7,"Memory_Controller,AHB_Controller,Data_Path,Cache_L1,Control_Unit,Cache_L2,SPI_Interface",0.5302,1,31,12.8,1.0,1,2
commit_000869,author_44,14.58,2024-12-25 06:00:00,49,2343,1139,5,"Data_Path,I2C_Interface,Interconnect,GPIO_Controller,Reset_Logic",0.4105,1,14,10.61,0.7393,0,0
